"Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"Nicolas Hasler","SKC","2019","M","168000","183666.67","2019-09-13"
"Boniek García","HOU","2019","M","168000","183000","2019-09-13"
"Erik Hurtado","SKC","2019","F","174999.96","181249.96","2019-09-13"
"Abu Danladi","MIN","2019","F","145000.08","180000.08","2019-09-13"
"Jasser Khmiri","VAN","2019","D","180000","180000","2019-09-13"
"Axel Sjöberg","COL","2019","D","174996","179996","2019-09-13"
"Francis Atuahene","FCD","2019","M","135000","179000","2019-09-13"
"Mark-Anthony Kaye","LAFC","2019","M","166248","177810.5","2019-09-13"
"Warren Creavalle","PHI","2019","D","162000","175300","2019-09-13"
"Nick DeLeon","TOR","2019","D","159528","175269.67","2019-09-13"
"Aurélien Collin","PHI","2019","D","175000.08","175000.08","2019-09-13"
"Anthony Jackson-Hamel","MTL","2019","F","160000.08","175000.08","2019-09-13"
"Ryan Hollingshead","FCD","2019","D","174999.96","174999.96","2019-09-13"
"Tommy Thompson","SJE","2019","D","174999.96","174999.96","2019-09-13"
"Fafa Picault","PHI","2019","M","159999.96","173666.63","2019-09-13"
"Joe Willis","HOU","2019","GK","165000","172833.33","2019-09-13"
"Alejandro Fuenmayor","HOU","2019","D","145008","172508","2019-09-13"
"Víctor Cabrera","MTL","2019","D","150000","172328.33","2019-09-13"
"Frankie Amaya","CIN","2019","M","110000.04","172000.04","2019-09-13"
"Matías Pellegrini","MIA","2019","M","75000","170833.33","2019-09-13"
"Scott Sutter","VAN","2019","D","155000.04","170177.04","2019-09-13"
"Julio Cascante","POR","2019","D","170004","170004","2019-09-13"
"Joe Gyau","CIN","2019","M","148200","168640","2019-09-13"
"Tyler Deric","HOU","2019","GK","159999.96","167499.96","2019-09-13"
"Brandon Vázquez","ATL","2019","F","150000","166000","2019-09-13"
"Chris Seitz","DCU","2019","GK","165000","165000","2019-09-13"
"Jordan Harvey","LAFC","2019","D","165000","165000","2019-09-13"
"Tommy McNamara","HOU","2019","M","165000","165000","2019-09-13"
"Keaton Parks","NYC","2019","D","150000","165000","2019-09-13"
"Keegan Rosenberry","COL","2019","D","151194.96","164944.96","2019-09-13"
"Joseph Mora","DCU","2019","D","150000","164250","2019-09-13"
"Juninho Pereira","LAG","2019","M","150000","163125","2019-09-13"
"Aljaz Ivacic","POR","2019","GK","150000","160000","2019-09-13"
"Ricardo Clark","CLB","2019","M","159999.96","159999.96","2019-09-13"
"Zarek Valentin","POR","2019","D","159999.96","159999.96","2019-09-13"
"Ruan","ORL","2019","D","159999.96","159999.96","2019-09-13"
"Júnior Moreno","DCU","2019","D","140000.04","159500.04","2019-09-13"
"Daniel Steres","LAG","2019","D","150000","157333.4","2019-09-13"
"Amro Tarek","NYRB","2019","D","150000","156250","2019-09-13"
"Jimmy Medranda","SKC","2019","D","155004","155004","2019-09-13"
"Marlon Hairston","HOU","2019","M","155004","155004","2019-09-13"
"Luke Mulholland","RSL","2019","M","155000.04","155000.04","2019-09-13"
"Dejan Jakovic","LAFC","2019","D","150000","153750","2019-09-13"
"Scott Caldwell","NER","2019","M","142312.56","153208.56","2019-09-13"
"Richard Sánchez","CHI","2019","GK","150000","152500","2019-09-13"
"Brent Kallman","MIN","2019","D","118000.08","151531.33","2019-09-13"
"Kenneth Kronholm","CHI","2019","GK","87996","150996","2019-09-13"
"Tesho Akindele","ORL","2019","F","150000","150000","2019-09-13"
"Andy Polo","POR","2019","M","150000","150000","2019-09-13"
"J.J. Williams","CLB","2019","F","95000.04","149750.04","2019-09-13"
"Nick Hagglund","CIN","2019","D","137504.4","147129.4","2019-09-13"
"JT Marcinkowski","SJE","2019","GK","135000","147000","2019-09-13"
"Micheal Azira","CHI","2019","D","140000.04","146625.04","2019-09-13"
"Alex De John","ORL","2019","D","135000","146614.17","2019-09-13"
"Lalas Abubakar","COL","2019","D","135000","144937.5","2019-09-13"
"Joe Bendik","PHI","2019","GK","144000","144000","2019-09-13"
"Samuel Piette","MTL","2019","D","135000","143159.38","2019-09-13"
"Seth Sinovic","SKC","2019","D","135000","143000","2019-09-13"
"José Rafael Hernández","ATL","2019","D","140004","140004","2019-09-13"
"Steve Clark","POR","2019","GK","140000.04","140000.04","2019-09-13"
"Dániel Sallói","SKC","2019","M","129999.96","139624.96","2019-09-13"
"Shane O'Neill","ORL","2019","D","124999.92","139499.92","2019-09-13"
"Clint Irwin","COL","2019","GK","126000","138707.24","2019-09-13"
"Jay Chapman","TOR","2019","M","120000","138500","2019-09-13"
"Thomas Roberts","FCD","2019","M","109999.92","137999.92","2019-09-13"
"Jordan Hamilton","CLB","2019","F","124992","137658.67","2019-09-13"
"Jonathan Lewis","COL","2019","M","100000.08","137500.08","2019-09-13"
"Ryan Meara","NYRB","2019","GK","132000","137000","2019-09-13"
"Eryk Williamson","POR","2019","M","120000","136500","2019-09-13"
"Eric Calvillo","SJE","2019","M","120000","136500","2019-09-13"
"Fabian Herbers","CHI","2019","M","135000","135000","2019-09-13"
"Mo Adams","ATL","2019","M","99999.96","134999.96","2019-09-13"
"Griffin Dorsey","TOR","2019","M","90000","134000","2019-09-13"
"Ashtone Morgan","TOR","2019","D","132000","133500","2019-09-13"
"Julian Gressel","ATL","2019","M","114249.96","132999.96","2019-09-13"
"Connor Lade","NYRB","2019","D","126000","132749.85","2019-09-13"
"Donny Toia","RSL","2019","D","131254.2","131254.2","2019-09-13"
"Gordon Wild","DCU","2019","F","99999.96","129999.96","2019-09-13"
"Alex Muyl","NYRB","2019","M","123750","127750","2019-09-13"
"Jimmy Maurer","FCD","2019","GK","125000.04","127500.04","2019-09-13"
"Tajon Buchanan","NER","2019","M","90000","126000","2019-09-13"
"Eric Miller","NYC","2019","D","108549.96","124424.96","2019-09-13"
"Ayo Akinola","TOR","2019","F","56256","124256","2019-09-13"
"Jake Nerwinski","VAN","2019","D","120000","124125","2019-09-13"
"Auston Trusty","PHI","2019","D","95000.04","124100.04","2019-09-13"
"Tomas Hilliard-Arce","LAG","2019","D","99999.96","123124.96","2019-09-13"
"Sebastián Saucedo","RSL","2019","M","112500","123000","2019-09-13"
"Jack De Vries","PHI","2019","M","90000","120556.25","2019-09-13"
"Eduardo Sosa","CLB","2019","M","99999.96","120199.96","2019-09-13"
"Shamit Shome","MTL","2019","M","100000.08","120000.08","2019-09-13"
"Alejandro Guido","LAFC","2019","D","120000","120000","2019-09-13"
"Dillon Serna","COL","2019","M","120000","120000","2019-09-13"
"Fabinho","PHI","2019","D","120000","120000","2019-09-13"
"Dave Romney","LAG","2019","D","102000","118950","2019-09-13"
"Cristian Cásseres Jr","NYRB","2019","M","79999.92","118749.92","2019-09-13"
"Brad Knighton","NER","2019","GK","111253.32","116253.32","2019-09-13"
"Benji Michel","ORL","2019","F","84999.96","116249.96","2019-09-13"
"Quentin Westberg","TOR","2019","GK","100000.08","115254.08","2019-09-13"
"Justin Rennicks","NER","2019","F","80000.04","115000.04","2019-09-13"
"Djordje Mihailovic","CHI","2019","M","111000","114600","2019-09-13"
"Michael Murillo","NYRB","2019","D","105003.96","113753.96","2019-09-13"
"John Nelson","FCD","2019","D","80000.04","113000.04","2019-09-13"
"Ricardo Pepi","FCD","2019","F","80000.04","113000.04","2019-09-13"
"Derek Cornelius","VAN","2019","D","99999.96","111912.46","2019-09-13"
"Latif Blessing","LAFC","2019","M","93750","110416.67","2019-09-13"
"Victor Giro","VAN","2019","D","105000","110312.5","2019-09-13"
"Danilo Acosta","ORL","2019","D","110000.04","110000.04","2019-09-13"
"Aboubacar Keita","CLB","2019","D","90000","110000","2019-09-13"
"Chris Mueller","ORL","2019","M","95625","109375","2019-09-13"
"Dante Sealy","FCD","2019","F","80000.04","108400.04","2019-09-13"
"Bill Tuiloma","POR","2019","D","100008","107508","2019-09-13"
"Edward Opoku","CLB","2019","F","84999.96","105999.96","2019-09-13"
"Collin Martin","MIN","2019","M","105000","105000","2019-09-13"
"James Sands","NYC","2019","D","105000","105000","2019-09-13"
"Pablo Sisniega","LAFC","2019","GK","105000","105000","2019-09-13"
"Paxton Pomykal","FCD","2019","M","99999.96","104999.96","2019-09-13"
"Alex Crognale","CLB","2019","D","104504.4","104504.4","2019-09-13"
"Chris Durkin","DCU","2019","D","95000.04","104375.04","2019-09-13"
"Siad Haji","SJE","2019","M","75000","104000","2019-09-13"
"Donovan Pines","DCU","2019","D","90000","102000","2019-09-13"
"Jalil Anibaba","NER","2019","D","101250","101250","2019-09-13"
"Alex Horwath","RSL","2019","GK","95000.04","100862.54","2019-09-13"
"Edwin Cerrillo","FCD","2019","D","70250.04","100250.04","2019-09-13"
"Alec Kann","ATL","2019","GK","100008","100008","2019-09-13"
"Lass Bangoura","VAN","2019","M","99999.96","99999.96","2019-09-13"
"Brad Stuver","NYC","2019","GK","99999.96","99999.96","2019-09-13"
"Andrew Gutman","CIN","2019","D","99999.96","99999.96","2019-09-13"
"Matt Hundley","COL","2019","M","65000.04","99000.04","2019-09-13"
"Cameron Lindley","ORL","2019","D","90000","98906.25","2019-09-13"
"Brenden Aaronson","PHI","2019","M","70000.08","98309.48","2019-09-13"
"Clément Diop","MTL","2019","GK","94500","98190","2019-09-13"
"Brian Rowe","ORL","2019","GK","95000.04","98000.04","2019-09-13"
"Grant Lillard","CHI","2019","D","95000.04","97500.04","2019-09-13"
"Daniel Lovitz","MTL","2019","D","97453.08","97453.08","2019-09-13"
"Andrew Carleton","ATL","2019","M","84999.96","97399.96","2019-09-13"
"Omir Fernandez","NYRB","2019","M","80000.04","95000.04","2019-09-13"
"Andre Shinyashiki","COL","2019","F","84999.96","94999.96","2019-09-13"
"Maxime Crépeau","VAN","2019","GK","90000","94083.33","2019-09-13"
"Gianluca Busio","SKC","2019","M","90000","92500","2019-09-13"
"Kortne Ford","COL","2019","D","92496","92496","2019-09-13"
"Gilbert Fuentes","SJE","2019","M","80000.04","92000.04","2019-09-13"
"Daniel Ríos","NSH","2019","F","80000.04","91625.04","2019-09-13"
"Brandt Bronico","CHI","2019","M","84999.96","90624.96","2019-09-13"
"Hugo Arellano","LAG","2019","D","82500","90073.75","2019-09-13"
"Moisés Hernández","FCD","2019","D","90000","90000","2019-09-13"
"Chris Goslin","ATL","2019","M","90000","90000","2019-09-13"
"Danny Leyva","SEA","2019","D","56250","89872.25","2019-09-13"
"Cristian Martínez","CHI","2019","M","80000.04","88406.71","2019-09-13"
"Jaylin Lindsey","SKC","2019","D","75000","88000","2019-09-13"
"Zachary Herivaux","NER","2019","M","72351.6","87351.6","2019-09-13"
"Mathieu Choinière","MTL","2019","M","80000.04","86390.04","2019-09-13"
"Julian Araujo","LAG","2019","D","80000.04","86250.04","2019-09-13"
"Aaron Herrera","RSL","2019","D","86000.04","86000.04","2019-09-13"
"Alfonso Ocampo-Chavez","SEA","2019","F","56250","85750","2019-09-13"
"Nick Besler","RSL","2019","M","84999.96","84999.96","2019-09-13"
"Juan Pablo Torres","NYC","2019","M","70250.04","84750.04","2019-09-13"
"Nouhou Tolo","SEA","2019","D","84000","84000","2019-09-13"
"Cole Bassett","COL","2019","M","75000","84000","2019-09-13"
"Michael Baldisimo","VAN","2019","D","56250","83012.8","2019-09-13"
"Memo Rodríguez","HOU","2019","M","70250.04","82750.04","2019-09-13"
"Tyler Freeman","SKC","2019","F","70249.92","82749.92","2019-09-13"
"Mark McKenzie","PHI","2019","D","72225","82225","2019-09-13"
"Derrick Etienne","CIN","2019","M","77062.56","82062.56","2019-09-13"
"Sam Vines","COL","2019","D","80000.04","81250.04","2019-09-13"
"Simon Colyn","VAN","2019","M","56250","81250","2019-09-13"
"Zachary Brault-Guillard","MTL","2019","D","72000","81000","2019-09-13"
"Sebastian Anderson","COL","2019","D","56250","80916.67","2019-09-13"
"Derrick Jones","PHI","2019","M","75000","80900","2019-09-13"
"Reggie Cannon","FCD","2019","D","80250","80250","2019-09-13"
"Marco Farfan","POR","2019","D","80250","80250","2019-09-13"
"Jalen Robinson","DCU","2019","D","80004","80004","2019-09-13"
"Cory Burke","PHI","2019","F","75937.56","79720.37","2019-09-13"
"Niko Hansen","HOU","2019","M","71662.56","79162.56","2019-09-13"
"Jacori Hayes","FCD","2019","M","71662.56","79162.56","2019-09-13"
"George Bello","ATL","2019","D","75000","79000","2019-09-13"
"Anthony Fontana","PHI","2019","M","70260","78677.6","2019-09-13"
"Romario Williams","CLB","2019","F","78650.04","78650.04","2019-09-13"
"Ethan Zubak","LAG","2019","F","75000","78125","2019-09-13"
"Joe Scally","NYC","2019","D","56250","78066.67","2019-09-13"
"Cameron Lancaster","NSH","2019","F","70250.04","78065.67","2019-09-13"
"Gedion Zelalem","SKC","2019","M","56250","77916.67","2019-09-13"
"Matt Freese","PHI","2019","GK","70000.08","77650.08","2019-09-13"
"Forrest Lasso","CIN","2019","D","70250.04","77583.37","2019-09-13"
"Tyler Miller","LAFC","2019","GK","77565","77565","2019-09-13"
"Cody Cropper","NER","2019","GK","77519.52","77519.52","2019-09-13"
"Santiago Patiño","ORL","2019","F","72500.04","76781.29","2019-09-13"
"Bradford Jamieson","LAG","2019","F","76403.28","76403.28","2019-09-13"
"Griffin Yow","DCU","2019","F","70250.04","76368.37","2019-09-13"
"Erik McCue","HOU","2019","D","56250","76250","2019-09-13"
"Theo Bair","VAN","2019","F","56250","76250","2019-09-13"
"Jean-Christophe Koffi","NYRB","2019","M","70250.04","76031.29","2019-09-13"
"Josh Pérez","LAFC","2019","M","75999.96","75999.96","2019-09-13"
"Matt Turner","NER","2019","GK","75937.56","75937.56","2019-09-13"
"Liam Fraser","TOR","2019","D","70875","75875","2019-09-13"
"Efrain Álvarez","LAG","2019","M","70872","75605.8","2019-09-13"
"Tsubasa Endoh","TOR","2019","M","70250.04","75583.37","2019-09-13"
"Isaac Angking","NER","2019","M","70250.04","75250.04","2019-09-13"
"Oniel Fisher","DCU","2019","D","70250.04","74916.71","2019-09-13"
"Gabriel Slonina","CHI","2019","GK","60000","74800","2019-09-13"
"Dayne St. Clair","MIN","2019","GK","70250.04","74753.17","2019-09-13"
"Marcus Epps","NYRB","2019","M","70250.04","74541.71","2019-09-13"
"Florian Valot","NYRB","2019","M","70872","74508.45","2019-09-13"
"Antonio Bustamante","DCU","2019","D","70250.04","74484.83","2019-09-13"
"Sebastien Ibeagha","NYC","2019","D","74250","74250","2019-09-13"
"Deklan Wynne","COL","2019","D","74250","74250","2019-09-13"
"Brett Levis","VAN","2019","D","71662.56","74162.56","2019-09-13"
"Nicolas Firmino","NER","2019","M","70250.04","73916.71","2019-09-13"
"Eric Dick","SKC","2019","GK","70250.04","73699.58","2019-09-13"
"Earl Edwards Jr.","DCU","2019","GK","70250.04","73583.37","2019-09-13"
"Vincent Bezecourt","NYRB","2019","M","70875","73295.62","2019-09-13"
"Lagos Kunga","ATL","2019","M","70250.04","73250.04","2019-09-13"
"Tristan Blackmon","LAFC","2019","D","70250.04","72983.95","2019-09-13"
"Diego Campos","CHI","2019","D","70250.04","72825.04","2019-09-13"
"Amando Moreno","CHI","2019","M","70250.04","72750.04","2019-09-13"
"Peter-Lee Vassell","LAFC","2019","M","70250.04","72750.04","2019-09-13"
"Andre Rawls","COL","2019","GK","72360.84","72360.84","2019-09-13"
"Kevin Garcia","HOU","2019","D","72360.84","72360.84","2019-09-13"
"Mikey Ambrose","ATL","2019","D","72351.6","72351.6","2019-09-13"
"Tony Rocha","NYC","2019","M","72346.92","72346.92","2019-09-13"
"Spencer Richey","CIN","2019","GK","71666.88","71666.88","2019-09-13"
"Matt Bersano","SJE","2019","GK","71666.88","71666.88","2019-09-13"
"Jon Kempin","CLB","2019","GK","71664","71664","2019-09-13"
"Luis Felipe","SJE","2019","D","70875","71625","2019-09-13"
"Kyle Zobeck","FCD","2019","GK","70875","70875","2019-09-13"
"Bryan Meredith","SEA","2019","GK","70875","70875","2019-09-13"
"Caleb Patterson-Sewell","TOR","2019","GK","70875","70875","2019-09-13"
"Jimmy Ockford","SJE","2019","D","70875","70875","2019-09-13"
"Mason Stajduhar","ORL","2019","GK","70875","70875","2019-09-13"
"Jordy Delem","SEA","2019","D","70875","70875","2019-09-13"
"Brian Wright","NER","2019","F","70875","70875","2019-09-13"
"Jorge Corrales","MTL","2019","D","70875","70875","2019-09-13"
"Eric Bird","HOU","2019","M","70875","70875","2019-09-13"
"Adam Grinwis","ORL","2019","GK","70875","70875","2019-09-13"
"Wan Kuzain","SKC","2019","D","70875","70875","2019-09-13"
"Andrew Putna","RSL","2019","GK","70875","70875","2019-09-13"
"Olivier Mbaizo","PHI","2019","D","70875","70875","2019-09-13"
"Hassan Ndam","CIN","2019","D","70260","70260","2019-09-13"
"Justin Hoyte","CIN","2019","D","70250.04","70250.04","2019-09-13"
"Maynor Figueroa","HOU","2019","D","70250.04","70250.04","2019-09-13"
"Quincy Amarikwa","DCU","2019","F","70250.04","70250.04","2019-09-13"
"Tosaint Ricketts","VAN","2019","F","70250.04","70250.04","2019-09-13"
"Corben Bone","CIN","2019","M","70250.04","70250.04","2019-09-13"
"Servando Carrasco","LAG","2019","M","70250.04","70250.04","2019-09-13"
"Lawrence Olum","MIN","2019","D","70250.04","70250.04","2019-09-13"
"Jimmy McLaughlin","CIN","2019","M","70250.04","70250.04","2019-09-13"
"Matt Lampson","LAG","2019","GK","70250.04","70250.04","2019-09-13"
"Luis Silva","SEA","2019","F","70250.04","70250.04","2019-09-13"
"Andrés Flores","POR","2019","M","70250.04","70250.04","2019-09-13"
"Kofi Opare","COL","2019","D","70250.04","70250.04","2019-09-13"
"Kendall McIntosh","POR","2019","GK","70250.04","70250.04","2019-09-13"
"Sean Melvin","VAN","2019","GK","70250.04","70250.04","2019-09-13"
"Brendan Moore","ATL","2019","GK","70250.04","70250.04","2019-09-13"
"RJ Allen","PHI","2019","D","70250.04","70250.04","2019-09-13"
"Saad Abdul-Salaam","SEA","2019","D","70250.04","70250.04","2019-09-13"
"Adrián Zendejas","SKC","2019","GK","70250.04","70250.04","2019-09-13"
"Jonathan Campbell","SEA","2019","D","70250.04","70250.04","2019-09-13"
"Raheem Edwards","CHI","2019","M","70250.04","70250.04","2019-09-13"
"Evan Louro","NYRB","2019","GK","70250.04","70250.04","2019-09-13"
"Connor Maloney","CLB","2019","D","70250.04","70250.04","2019-09-13"
"Ballou Tabla","MTL","2019","M","70250.04","70250.04","2019-09-13"
"Stefan Cleveland","CHI","2019","GK","70250.04","70250.04","2019-09-13"
"Jesús Ferreira","FCD","2019","F","70250.04","70250.04","2019-09-13"
"Julián Carranza","MIA","2019","F","70250.04","70250.04","2019-09-13"
"Jason Beaulieu","MTL","2019","GK","70250.04","70250.04","2019-09-13"
"James Pantemis","MTL","2019","GK","70250.04","70250.04","2019-09-13"
"Jon Bakero","TOR","2019","F","70250.04","70250.04","2019-09-13"
"Kyle Duncan","NYRB","2019","D","70250.04","70250.04","2019-09-13"
"Ryan Telfer","TOR","2019","M","70250.04","70250.04","2019-09-13"
"Modou Jadama","POR","2019","D","70250.04","70250.04","2019-09-13"
"Daniel Bedoya","NYC","2019","M","70250.04","70250.04","2019-09-13"
"Bryan Reynolds","FCD","2019","F","70250.04","70250.04","2019-09-13"
"Kyle Smith","ORL","2019","D","70250.04","70250.04","2019-09-13"
"Greg Ranjitsingh","ORL","2019","GK","70250.04","70250.04","2019-09-13"
"Justin Portillo","RSL","2019","M","70250.04","70250.04","2019-09-13"
"Emil Cuello","LAG","2019","M","70250.04","70250.04","2019-09-13"
"Tate Schmitt","RSL","2019","F","70250.04","70250.04","2019-09-13"
"Sam Raben","COL","2019","D","70250.04","70250.04","2019-09-13"
"Erik Holt","RSL","2019","D","70250.04","70250.04","2019-09-13"
"Nazmi Albadawi","CIN","2019","M","70250.04","70250.04","2019-09-13"
"David Ochoa","RSL","2019","GK","70250.04","70250.04","2019-09-13"
"Jon Gallagher","ATL","2019","M","70250.04","70250.04","2019-09-13"
"Callum Montgomery","FCD","2019","D","70250.04","70250.04","2019-09-13"
"Renzo Zambrano","POR","2019","M","70250.04","70250.04","2019-09-13"
"Justin Dhillon","SEA","2019","F","70250.04","70250.04","2019-09-13"
"Corey Baird","RSL","2019","F","70008","70008","2019-09-13"
"Noble Okello","TOR","2019","M","56244.6","68059.51","2019-09-13"
"Patrick Okonkwo","ATL","2019","F","56256","67256","2019-09-13"
"Cade Cowell","SJE","2019","F","57225","67225","2019-09-13"
"Clément Bayiha","MTL","2019","M","61750.08","67125.08","2019-09-13"
"Julian Vazquez","RSL","2019","F","56250","66250","2019-09-13"
"Thomas Hasal","VAN","2019","GK","56250","66250","2019-09-13"
"Trey Muse","SEA","2019","GK","56250","65000","2019-09-13"
"Andre Reynolds","CHI","2019","D","56250","64250","2019-09-13"
"Jacob Akanyirige","SJE","2019","D","62225.04","64225.04","2019-09-13"
"Brandon Bye","NER","2019","D","59950.08","63244.93","2019-09-13"
"Ben Mines","NYRB","2019","M","57229.2","63243.2","2019-09-13"
"Jacob Shaffelburg","TOR","2019","M","56250","62750","2019-09-13"
"Abdul Rwatubyaye","COL","2019","D","56250","62625","2019-09-13"
"Karifa Yao","MTL","2019","D","56250","60466.39","2019-09-13"
"Thomas Meilleur-Giguere","MTL","2019","D","57120","60245","2019-09-13"
"Daniel Kinumbe","MTL","2019","D","56250","60165.63","2019-09-13"
"Ken Krolicki","MTL","2019","M","59950.08","59950.08","2019-09-13"
"Ben Lundt","CIN","2019","GK","56250","59658.75","2019-09-13"
"Rashawn Dally","CIN","2019","F","56250","59658.75","2019-09-13"
"Logan Gdula","CIN","2019","D","56250","59575","2019-09-13"
"David Norman","VAN","2019","M","57225","58225","2019-09-13"
"Justin vom Steeg","LAG","2019","GK","57225","57225","2019-09-13"
"Luis Argudo","CLB","2019","M","57225","57225","2019-09-13"
"Carter Manley","MIN","2019","D","57225","57225","2019-09-13"
"Handwalla Bwana","SEA","2019","M","57225","57225","2019-09-13"
"Alex Roldan","SEA","2019","M","57225","57225","2019-09-13"
"Niki Jackson","COL","2019","F","57225","57225","2019-09-13"
"Elliot Collier","CHI","2019","M","57225","57225","2019-09-13"
"Wyatt Omsberg","MIN","2019","D","57225","57225","2019-09-13"
"Matthew Real","PHI","2019","D","57225","57225","2019-09-13"
"Julian Dunn","TOR","2019","D","57225","57225","2019-09-13"
"Aidan Daniels","TOR","2019","M","57225","57225","2019-09-13"
"Foster Langsdorf","POR","2019","F","57225","57225","2019-09-13"
"Kevin Partida","SJE","2019","M","57225","57225","2019-09-13"
"Graham Smith","SKC","2019","D","57225","57225","2019-09-13"
"Jeff Caldwell","NYC","2019","GK","57225","57225","2019-09-13"
"Brian White","NYRB","2019","F","57225","57225","2019-09-13"
"Michael Nelson","HOU","2019","GK","57225","57225","2019-09-13"
"Ben Lundgaard","CLB","2019","GK","57225","57225","2019-09-13"
"Paul Marie","SJE","2019","D","57225","57225","2019-09-13"
"Richie Laryea","TOR","2019","D","56250","56250","2019-09-13"
"Luiz Fernando Nascimento","ATL","2019","F","56250","56250","2019-09-13"
"Dion Pereira","ATL","2019","M","56250","56250","2019-09-13"
"Chris Odoi-Atsem","DCU","2019","D","56250","56250","2019-09-13"
"Lamar Batista","LAFC","2019","D","56250","56250","2019-09-13"
"Abdi Mohamed","NYC","2019","D","56250","56250","2019-09-13"
"Kamal Miller","ORL","2019","D","56250","56250","2019-09-13"
"Sean Nealis","NYRB","2019","D","56250","56250","2019-09-13"
"DeJuan Jones","NER","2019","M","56250","56250","2019-09-13"
"Hassani Dotson","MIN","2019","M","56250","56250","2019-09-13"
"Chase Gasper","MIN","2019","D","56250","56250","2019-09-13"
"Sam Junqua","HOU","2019","D","56250","56250","2019-09-13"
"Jimmy Hague","CIN","2019","GK","56250","56250","2019-09-13"
"Adrien Pérez","LAFC","2019","F","56250","56250","2019-09-13"
"Ally Ng'Anzi","MIN","2019","M","56250","56250","2019-09-13"
"Javier Pérez","LAFC","2019","M","56250","56250","2019-09-13"
"Luis Arriaga","RSL","2019","M","56250","56250","2019-09-13"
"Jeremiah Gutjahr","CHI","2019","M","56250","56250","2019-09-13"
"Amar Sejdic","MTL","2019","M","56250","56250","2019-09-13"
"Diedie Traore","LAG","2019","D","56250","56250","2019-09-13"
"Tom Barlow","NYRB","2019","F","56250","56250","2019-09-13"
"Michee Ngalina","PHI","2019","M","56250","56250","2019-09-13"
"Brendan McDonough","VAN","2019","D","56250","56250","2019-09-13"
"Justin Haak","NYC","2019","M","56250","56250","2019-09-13"
"Luis Barraza","NYC","2019","GK","56250","56250","2019-09-13"
"Tommy McCabe","CIN","2019","D","56250","56250","2019-09-13"
"Marvin Loría","POR","2019","M","56250","56250","2019-09-13"
"Phillip Ejimadu","LAFC","2019","GK","56250","56250","2019-09-13"
"Rece Buckmaster","NYRB","2019","D","56250","56250","2019-09-13"
"Chris Cadden","CLB","2019","M","56250","56250","2019-09-13"
"Felipe Hernandez","SKC","2019","M","56250","56250","2019-09-13"
"Douglas Martínez","RSL","2019","F","56250","56250","2019-09-13"
"Georges Mukumbilwa","VAN","2019","D","56250","56250","2019-09-13"